hours,repositioning,0,1,2,3,4,5,6
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,439.0,260.0,0.0,0.0,0.0,0.0,0.0
9,0.0,863.0,912.0,0.0,0.0,0.0,0.0,0.0
10,0.0,157.0,260.0,0.0,0.0,0.0,0.0,0.0
11,0.0,265.0,222.0,0.0,0.0,0.0,0.0,0.0
12,0.0,247.0,258.0,0.0,0.0,0.0,0.0,0.0
13,0.0,324.0,354.0,0.0,0.0,0.0,0.0,0.0
14,0.0,234.0,235.0,0.0,0.0,0.0,0.0,0.0
15,0.0,269.0,275.0,0.0,0.0,0.0,0.0,0.0
16,0.0,318.0,223.0,0.0,0.0,0.0,0.0,0.0
17,0.0,402.0,370.0,0.0,0.0,0.0,0.0,0.0
18,0.0,1361.0,940.0,0.0,0.0,0.0,0.0,0.0
19,0.0,539.0,971.0,0.0,0.0,0.0,0.0,0.0
20,0.0,225.0,302.0,0.0,0.0,0.0,0.0,0.0
21,0.0,92.0,154.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
