ReplanningReason,Count
MissedTransitPickup DRIVE_TRANSIT,34
ResourceCapacityExhausted DRIVE_TRANSIT,3
ResourceUnavailable RIDE_HAIL,21
ResourceCapacityExhausted WALK_TRANSIT,29769
