Revenue,Hour
0.0,0
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
61.3,6
5895.72,7
8935.73,8
1577.12,9
2862.71,10
2492.43,11
3831.66,12
2213.75,13
2841.51,14
4277.98,15
4914.77,16
20135.34,17
6211.4,18
3005.97,19
1464.58,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30

