timeBin,TAZ,outboundParkingOverheadTime,inboundParkingOverheadTime,inboundParkingOverheadCost
7,emergency,11.25,1336.0,50.0
8,emergency,0.0,1507.6875,50.0
9,emergency,0.0,1266.0,50.0
10,emergency,0.0,1990.5,50.0
11,emergency,0.0,1593.0,50.0
12,emergency,0.0,1531.5,50.0
13,emergency,0.0,2645.0,50.0
14,emergency,0.0,2190.0,50.0
15,emergency,0.0,797.0,50.0
16,emergency,0.0,936.75,50.0
17,emergency,0.0,1638.6666666666667,50.0
18,emergency,0.0,1705.5,50.0
