WaitingTime(sec),Hour
0,1
0,2
0,3
0,4
0,5
0,6
916.0,7
167223.0,8
340441.0,9
33907.0,10
71875.0,11
47258.0,12
88372.0,13
40271.0,14
47346.0,15
56810.0,16
65347.0,17
386217.0,18
89452.0,19
60089.0,20
10931.0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
