Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,
bus,0,0,0,0,0,9.744710215946077E7,7.594408244786823E9,1.0662470475351372E10,1.0830390312459211E10,1.0746430393905294E10,9.157038435684145E9,7.559483971020826E9,7.559483971020828E9,7.559483971020826E9,7.559483971020826E9,7.559483971020826E9,7.559483971020825E9,9.148875929241978E9,1.0746430393905293E10,1.0648983291745832E10,8.768370804963943E9,7.170816340300631E9,1.5544676844551606E9,0,0,0,0,0,
car,0,0,0,0,0,0,0,1.7401067272471424E7,1.7598335376416168E8,6056897.397101835,2.039860400003331E7,8353696.050905321,1.4205881816850137E7,1.4723375943477508E7,9296080.61497088,7003198.229537025,3.0185361628385328E7,2.723259911420625E7,1.9959185048115168E7,0,0,0,0,0,0,0,0,0,
rideHail,0,0,0,0,0,0,3027784.516721927,1.5945380336382449E9,5.889258863084286E9,1.8501589408637347E9,1.4456637603881607E9,1.4406465532640867E9,2.2531221084331403E9,1.3955180356742966E9,1.4177758778152204E9,1.5928076537881777E9,2.6526688769661193E9,6.443944763795345E9,9.936937824808914E9,2.741959315517862E9,1.4769540392317934E9,3.564628541102374E7,0,0,0,0,0,0,
walk,0,0,0,0,0,0,317300.0649682451,7.286655117942085E8,1.8995138401655968E10,4.281789251478223E10,1.8404225592858475E10,1.0779464529826756E10,7.978985583790934E9,1.2165026916024107E10,1.2218833195206085E10,9.999574796982838E9,1.3030643728272202E10,2.188924913652251E10,5.019374443917156E10,1.5610754547805052E10,1.2272815025031744E10,1.03746460808211E9,2.953434990315283E7,0.0,0,0.0,0,0,
