hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,4.0,0,6.0
8,1.4999999999999998,602.0,172.0,691.5
9,6.166666666666666,728.1666666666667,1873.9999999999998,2733.166666666667
10,0.5,133.0,906.0,979.0000000000001
11,1.0,286.0,583.5,527.5
12,0.5,232.0,443.5,616.0
13,1.0,330.0,318.0,567.5
14,0.5,233.0,478.5,613.5
15,0.5,269.0,536.0,674.0
16,0,334.0,707.5,483.0
17,3.0,429.0,1037.5,654.0
18,0,1498.5,4480.999999999999,1344.5
19,0.8333333333333333,377.0,1083.5,707.3333333333333
20,0,267.0,652.8333333333333,271.0
21,0,26.0,44.5,45.5
22,0,0,2.0,3.0
23,0,0,1.0,0
