hours,0,1-3,4-6,7-9,10-12
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,17.0,0.0,0.0,0.0,0.0
7,1379.0,7.0,0.0,0.0,0.0
8,1367.0,354.0,200.0,1.0,0.0
9,233.0,444.0,1232.0,39.0,0.0
10,490.0,473.0,950.0,22.0,0.0
11,462.0,553.0,638.0,11.0,0.0
12,242.0,451.0,709.0,17.0,0.0
13,205.0,445.0,757.0,12.0,0.0
14,284.0,479.0,635.0,21.0,0.0
15,231.0,488.0,670.0,30.0,0.0
16,290.0,532.0,578.0,19.0,0.0
17,261.0,475.0,672.0,11.0,0.0
18,211.0,451.0,1003.0,25.0,0.0
19,349.0,506.0,1059.0,21.0,0.0
20,819.0,672.0,427.0,0.0,0.0
21,980.0,420.0,221.0,0.0,0.0
22,1249.0,88.0,39.0,0.0,0.0
23,299.0,5.0,0.0,0.0,0.0
