hour,numPassengers,vkt
6,0,1631.1439999999998
6,1,0.0
7,0,166072.3190000001
7,1,1118519.012999996
8,0,883833.3880000026
8,1,3406353.199000008
9,0,101305.64000000007
9,1,1146380.478999999
10,0,84251.01400000004
10,1,871366.5029999997
11,0,91437.15399999994
11,1,893731.7579999994
12,0,112595.36199999994
12,1,1591329.9020000007
13,0,83643.15300000003
13,1,733552.0639999992
14,0,78799.85599999993
14,1,989599.3019999987
15,0,96132.8570000003
15,1,1019246.6779999981
16,0,127889.21699999986
16,1,1595784.1580000015
17,0,498721.82000000327
17,1,3603038.292999994
18,0,558993.0910000023
18,1,5934915.694999983
19,0,57701.66600000001
19,1,1762643.5880000025
20,0,36401.97399999997
20,1,945077.4119999999
21,0,0.0
21,1,22331.301000000007
