Bin,AverageLinkSpeed
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.00000000000003
7,99.99999999999993
8,99.17212726099079
9,99.19216179682967
10,99.57402657995006
11,99.85226414868234
12,99.68453685313418
13,99.73102134344423
14,99.7266060000566
15,99.76397750040633
16,99.49400850937646
17,99.3206670605763
18,98.04950619039319
19,98.36640853699092
20,98.40467488884876
21,98.55134959992816
22,98.78464257747368
23,98.77625640686945
24,98.83259247227288
25,98.72115809489522
26,98.77822754217758
27,98.96045140852989
28,99.03963077310497
29,99.22774339672142
30,100.0
