Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,
drive_transit,0,0,0,0,0,0,0,2,17,0,2,1,2,1,1,0,7,0,3,0,0,0,0,
ride_hail,0,0,0,0,0,0,4,600,731,128,294,227,336,231,268,332,424,1494,375,267,25,0,0,
walk,0,0,0,0,0,0,0,268,3473,1784,727,602,451,672,756,818,1192,4870,1511,730,49,2,1,
walk_transit,0,0,0,0,0,0,6,3375,11736,3274,1302,1587,1592,1745,2005,1072,2281,3790,1980,402,102,3,0,
