timeBin,TAZ,outboundParkingOverheadTime,inboundParkingOverheadTime,inboundParkingOverheadCost
7,emergency,22.5,2428.0,50.0
8,emergency,3.2142857142857144,1494.8235294117646,50.0
9,emergency,0.0,2452.0,50.0
10,emergency,0.0,688.5,50.0
11,emergency,0.0,0.0,0.0
12,emergency,0.0,1995.0,50.0
13,emergency,0.0,631.0,50.0
14,emergency,0.0,999.0,50.0
15,emergency,0.0,1858.0,50.0
16,emergency,0.0,975.75,50.0
17,emergency,0.0,1408.0,50.0
18,emergency,0.0,1287.5,50.0
