hour,numPassengers,vkt
6,0,1631.1439999999998
6,1,0.0
7,0,160647.7310000002
7,1,1092480.408999999
8,0,953631.150000002
8,1,3335724.4689999935
9,0,81744.52600000001
9,1,1321035.0909999989
10,0,91665.31599999976
10,1,954817.1879999985
11,0,80894.39000000004
11,1,878149.0350000007
12,0,294987.1279999995
12,1,1233612.0360000012
13,0,75139.74199999988
13,1,990602.6879999993
14,0,76334.33599999994
14,1,957233.4489999998
15,0,105175.87400000026
15,1,1045850.8299999984
16,0,113808.5950000002
16,1,1627951.8969999987
17,0,458566.7320000031
17,1,4012948.67899999
18,0,644491.2540000001
18,1,4923884.924
19,0,50103.34699999996
19,1,1387387.4709999962
20,0,31868.412999999986
20,1,915634.0349999991
21,0,0.0
21,1,22148.025
