hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,4.0,0,6.0
8,0.8333333333333333,600.0,165.0,687.5
9,6.583333333333332,728.9166666666667,1882.3333333333333,2731.2500000000005
10,0,128.0,910.9166666666669,984.1666666666669
11,1.0,294.0,585.0,526.5
12,0.5,227.0,447.5,615.5
13,1.0,336.0,310.5,570.0
14,0.3333333333333333,230.0,474.0,621.0
15,0.3333333333333333,268.0,530.8333333333333,665.8333333333333
16,0,331.0,710.0,481.8333333333333
17,2.6666666666666665,424.0,1059.8333333333335,653.0
18,0,1494.0,4495.666666666665,1325.166666666667
19,1.3333333333333333,374.0,1093.5,701.8333333333334
20,0,259.0,682.3333333333333,257.5
21,0,25.0,41.0,43.0
22,0,0,2.0,3.0
23,0,0,1.0,0
