hour,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1261
8,11050
9,4061
10,989
11,1149
12,1088
13,1375
14,1543
15,721
16,1420
17,2661
18,2292
19,235
20,83
21,0
22,0
