WaitingTime(sec),Hour
0,1
0,2
0,3
0,4
0,5
0,6
916.0,7
154360.0,8
376743.0,9
24443.0,10
54742.0,11
39204.0,12
92180.0,13
41298.0,14
46969.0,15
60924.0,16
63643.0,17
533942.0,18
100208.0,19
47340.0,20
6976.0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
