modeChoiceReplanningEventChain,count
drive_transit-Replanning-walk_transit,11
walk_transit-Replanning-walk_transit-Replanning-walk_transit-Replanning-walk,8897
walk_transit-Replanning-walk,59
ride_hail-Replanning-ride_hail,3
walk_transit-Replanning-walk_transit-Replanning-walk,29
walk_transit-Replanning-walk_transit,1012
drive_transit-Replanning-walk_transit-Replanning-walk_transit,1
drive_transit-Replanning-walk_transit-Replanning-walk_transit-Replanning-walk,17
drive_transit-Replanning-walk,4
ride_hail-Replanning-drive_transit-Replanning-walk_transit-Replanning-walk,1
walk_transit-Replanning-walk_transit-Replanning-walk_transit,1007
ride_hail-Replanning-walk,16
ride_hail-Replanning-drive_transit-Replanning-walk_transit,2
