hours,repositioning,0,1,2,3,4,5,6
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,418.0,260.0,0.0,0.0,0.0,0.0,0.0
9,0.0,883.0,875.0,0.0,0.0,0.0,0.0,0.0
10,0.0,155.0,295.0,0.0,0.0,0.0,0.0,0.0
11,0.0,272.0,243.0,0.0,0.0,0.0,0.0,0.0
12,0.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0
13,0.0,334.0,321.0,0.0,0.0,0.0,0.0,0.0
14,0.0,226.0,265.0,0.0,0.0,0.0,0.0,0.0
15,0.0,271.0,275.0,0.0,0.0,0.0,0.0,0.0
16,0.0,320.0,221.0,0.0,0.0,0.0,0.0,0.0
17,0.0,390.0,376.0,0.0,0.0,0.0,0.0,0.0
18,0.0,1328.0,968.0,0.0,0.0,0.0,0.0,0.0
19,0.0,594.0,944.0,0.0,0.0,0.0,0.0,0.0
20,0.0,190.0,278.0,0.0,0.0,0.0,0.0,0.0
21,0.0,89.0,150.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
