hours,0,1-3,4-6,7-9,10-12
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,17.0,0.0,0.0,0.0,0.0
7,1379.0,7.0,0.0,0.0,0.0
8,1371.0,344.0,206.0,1.0,0.0
9,239.0,452.0,1216.0,41.0,0.0
10,491.0,504.0,917.0,23.0,0.0
11,461.0,561.0,631.0,11.0,0.0
12,246.0,441.0,715.0,17.0,0.0
13,211.0,461.0,732.0,15.0,0.0
14,279.0,444.0,680.0,16.0,0.0
15,253.0,447.0,689.0,30.0,0.0
16,288.0,541.0,571.0,19.0,0.0
17,259.0,452.0,697.0,11.0,0.0
18,194.0,468.0,1005.0,23.0,0.0
19,352.0,530.0,1032.0,21.0,0.0
20,841.0,693.0,384.0,0.0,0.0
21,971.0,473.0,177.0,0.0,0.0
22,1219.0,157.0,0.0,0.0,0.0
23,299.0,5.0,0.0,0.0,0.0
