hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,4.0,0,6.0
8,1.1666666666666665,664.0,144.5,684.5
9,6.249999999999998,852.0833333333334,1770.5,2706.416666666667
10,0,143.0,884.5833333333335,970.5000000000001
11,1.0,300.0,570.0,522.0
12,0.5,247.0,442.0,606.5
13,0.8333333333333333,353.0,305.0,558.5
14,0.5,240.0,473.0,613.5
15,0.5,286.0,523.8333333333334,667.3333333333333
16,0,364.0,684.0,479.0
17,2.833333333333333,470.0,1011.5,643.0
18,1.9166666666666665,1704.7499999999984,4270.166666666667,1329.3333333333335
19,1.0,452.5,1026.833333333334,695.4999999999998
20,0,292.0,635.25,274.4166666666667
21,0,29.0,33.0,44.5
22,0,5.0,0,3.0
23,0,0,1.0,0
