Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,
drive_transit,0,0,0,0,0,0,0,3,16,0,2,1,2,1,1,0,7,6,2,0,0,0,0,
ride_hail,0,0,0,0,0,0,4,664,855,143,301,247,353,240,286,367,470,1756,458,292,29,5,0,
walk,0,0,0,0,0,0,0,250,3342,1738,710,599,445,670,747,787,1136,4662,1457,676,42,0,1,
walk_transit,0,0,0,0,0,0,6,3309,11610,3246,1309,1588,1559,1741,1977,1043,2243,3762,2005,415,92,3,0,
