Bin,AverageLinkSpeed
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,99.99931137870801
7,99.99999999999996
8,99.04048056655196
9,98.91242395589173
10,99.06378578625548
11,99.49593700068075
12,99.36272601397414
13,99.55096178786019
14,99.76056020522466
15,99.7287057884581
16,99.51395165811844
17,99.28221345610339
18,97.67390270117161
19,97.99375017931885
20,98.32204744106102
21,98.50839589606191
22,98.73457254047923
23,98.95706065293159
24,99.04832599782209
25,99.08573586431963
26,98.9879446308591
27,99.11595002658082
28,99.19765060272762
29,99.3145521902031
30,100.0
