hours,0,1-3,4-6,7-9,10-12
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,17.0,0.0,0.0,0.0,0.0
7,1379.0,7.0,0.0,0.0,0.0
8,1370.0,353.0,198.0,1.0,0.0
9,256.0,437.0,1214.0,41.0,0.0
10,491.0,507.0,915.0,22.0,0.0
11,466.0,542.0,645.0,11.0,0.0
12,257.0,403.0,743.0,16.0,0.0
13,227.0,477.0,705.0,10.0,0.0
14,295.0,443.0,665.0,16.0,0.0
15,272.0,436.0,681.0,30.0,0.0
16,283.0,554.0,562.0,20.0,0.0
17,251.0,466.0,691.0,11.0,0.0
18,200.0,485.0,979.0,26.0,0.0
19,344.0,530.0,1039.0,22.0,0.0
20,787.0,726.0,405.0,0.0,0.0
21,962.0,446.0,213.0,0.0,0.0
22,1279.0,77.0,20.0,0.0,0.0
23,304.0,0.0,0.0,0.0,0.0
