Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,
bus,0,0,0,0,0,9.744710215946077E7,7.594408244786825E9,1.0662470475351376E10,1.0830390312459213E10,1.0746430393905294E10,9.157038435684145E9,7.559483971020826E9,7.559483971020826E9,7.559483971020826E9,7.559483971020826E9,7.559483971020826E9,7.559483971020826E9,9.148875929241978E9,1.0746430393905293E10,1.0648983291745832E10,8.768370804963945E9,7.1708163403006315E9,1.5544676844551606E9,0,0,0,0,0,
car,0,0,0,0,0,0,0,1.6266899077546133E7,2.08650638792999E8,9585607.559149504,7970973.78763382,1.1107036018682454E7,1.7225971520128846E7,1.2752469415676976E7,8488152.845657399,1.4920207510975843E7,3.0461833738590747E7,3.305980439684771E7,1.0887951061491047E8,0,0,0,0,0,0,0,0,0,
rideHail,0,0,0,0,0,0,3027784.516721927,1.6396989629887197E9,7.017177369950088E9,2.5868482787961035E9,1.7633522499835143E9,1.323882524947329E9,2.0375326993777103E9,1.8073075835439858E9,1.5810012350466473E9,1.8820765003939006E9,3.160940260848023E9,7.061554666644653E9,1.2548441966960577E10,3.3941583434417057E9,1.7741766514907439E9,2.0469867939566705E8,0,0,0,0,0,0,
walk,0,0,0,0,0,0,317300.0649682451,7.267049969110918E8,1.8261645105045094E10,4.127575448940461E10,1.7964931441485474E10,1.0868420082394918E10,7.63140414153109E9,1.1919722388108057E10,1.2202383828063751E10,9.82665659508888E9,1.2753122900434284E10,2.1409472569413002E10,4.8608583645861305E10,1.435662688696457E10,1.1521545655019432E10,9.319907405866709E8,1869081.1932243353,0.0,0,0.0,0,0,
