linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
100.00000000000126,100,14
100.00000000000125,100,34
100.0000000000013,100,14
0.6340171901337374,1,1
7.673526499027404,8,1
100.00000000000135,100,1
100.00000000000134,100,7
0.5913427439485762,1,1
100.00000000000115,100,10
100.00000000000114,100,34
100.00000000000118,100,13
100.0000000000012,100,44
94.23549246369548,94,1
0.8849153564546179,1,1
100.00000000000122,100,13
100.00000000000104,100,12
100.00000000000102,100,2
100.00000000000107,100,7
26.31009259527966,26,1
100.0000000000011,100,2
48.674132971287996,49,1
5.586931667371677,6,1
100.00000000000111,100,16
100.00000000000091,100,21
4.473599419993645,4,1
100.00000000000095,100,3
1.0592213004878037,1,1
100.00000000000094,100,4
100.00000000000098,100,1
3.9486880794957413,4,1
0.23686204630523314,0,1
100.000000000001,100,5
100.0000000000017,100,25
100.00000000000175,100,3
100.00000000000173,100,6
3.5647935664266988,4,1
100.00000000000178,100,12
100.0000000000018,100,7
93.42842876630098,93,1
100.00000000000162,100,7
2.198883939097987,2,1
100.00000000000166,100,7
100.00000000000165,100,14
100.00000000000169,100,1
100.00000000000149,100,4
0.6459824402857614,1,1
100.0000000000015,100,2
100.00000000000155,100,36
0.46126027180649787,0,1
100.00000000000153,100,9
20.607075989579617,21,1
100.00000000000158,100,3
96.9342257761211,97,1
100.00000000000138,100,3
2.385750712468286,2,1
100.00000000000139,100,8
99.99999999988499,100,1
100.00000000000142,100,5
26.04517615499348,26,1
100.00000000000146,100,4
100.00000000000145,100,6
100.00000000000036,100,6
44.82625899304373,45,1
100.00000000000038,100,11
100.0000000000004,100,14
100.00000000000044,100,7
100.00000000000043,100,1
100.00000000000024,100,1
9.086080323942994,9,1
100.00000000000023,100,21
100.00000000000027,100,6
0.016893911847497518,0,1
100.00000000000028,100,1
100.00000000000031,100,17
100.00000000000013,100,9
100.00000000000011,100,9
100.00000000000016,100,11
67.52889397277532,68,1
100.00000000000017,100,16
15.709558654204864,16,1
0.12736560014313408,0,1
100.0000000000002,100,24
54.593434598300185,55,1
46.54475969572774,47,1
100.0,100,152003
25.26231060536057,25,1
100.00000000000004,100,2
100.00000000000003,100,7976
100.00000000000007,100,7
9.734125029431995,10,1
100.00000000000009,100,1
98.02704806616492,98,1
100.0000000000008,100,24
0.7405944143393931,1,1
100.00000000000084,100,13
100.00000000000082,100,7
100.00000000000087,100,3
100.00000000000088,100,9
0.011433710224358927,0,1
100.00000000000068,100,9
100.00000000000071,100,1
100.00000000000075,100,17
100.00000000000074,100,4
100.00000000000078,100,5
100.00000000000058,100,9
0.41192000241366533,0,1
94.98446940952589,95,1
3.9993532012116417,4,1
100.0000000000006,100,10
100.00000000000064,100,20
100.00000000000063,100,10
100.00000000000067,100,3
100.00000000000047,100,4
100.00000000000048,100,30
100.00000000000051,100,5
100.00000000000055,100,11
100.00000000000054,100,6
100.00000000000308,100,4
0.35511930444620005,0,1
100.00000000000307,100,10
100.00000000000311,100,1
100.00000000000313,100,5
1.1413139292467738,1,1
100.00000000000317,100,17
100.00000000000315,100,8
100.00000000000297,100,1
100.00000000000296,100,16
3.7466909217199267,4,1
100.000000000003,100,6
100.00000000000304,100,5
100.00000000000284,100,10
100.00000000000288,100,6
0.8530873529783262,1,1
0.8918222346164484,1,1
100.00000000000287,100,10
100.00000000000291,100,15
100.00000000000293,100,12
100.00000000000273,100,3
0.2616988303132574,0,1
100.00000000000277,100,3
100.00000000000276,100,4
100.0000000000028,100,7
100.0000000001192,100,1
100.00000000000281,100,6
98.8777325336049,99,1
16.82457241436188,17,1
100.00000000000352,100,4
6.867430970606517,7,1
0.7621967324783512,1,1
100.00000000000355,100,3
100.0000000000036,100,26
100.00000000000358,100,5
100.00000000000362,100,9
100.00000000000342,100,6
0.7733001063560542,1,1
100.00000000000348,100,16
100.00000000000347,100,3
100.00000000000351,100,9
100.00000000000331,100,2
100.00000000000333,100,8
0.6497687998891485,1,1
100.00000000000335,100,5
100.0000000000034,100,21
0.6188670765741718,1,1
100.00000000000338,100,16
4.037807130607582,4,1
38.617707622130084,39,1
100.00000000000323,100,3
2.878411888466151,3,1
100.00000000000324,100,28
100.00000000000327,100,19
3.945346007789563,4,1
100.00000000000217,100,13
100.00000000000216,100,5
100.00000000000222,100,20
99.99999999988582,100,1
100.00000000000226,100,7
100.00000000000225,100,17
100.00000000000206,100,5
100.00000000000205,100,9
98.75582268539735,99,1
100.00000000000209,100,9
100.0000000000021,100,4
94.59485167897328,95,1
100.00000000000213,100,16
19.941285011414887,20,1
0.2689498417586957,0,1
100.00000000000193,100,7
100.00000000000198,100,18
100.00000000000196,100,10
100.000000000002,100,9
66.07800834958744,66,1
100.00000000000202,100,24
100.00000000000182,100,8
100.00000000000186,100,8
100.00000000000189,100,5
20.460684848080017,20,1
0.5730626502968914,1,1
100.0000000000019,100,23
100.00000000000261,100,19
0.13842716977327543,0,1
100.00000000000264,100,15
100.00000000000269,100,7
100.00000000000267,100,33
100.00000000000271,100,20
33.21112596893974,33,1
100.00000000000252,100,3
99.99999999988611,100,2
100.00000000000253,100,11
100.00000000000257,100,8
100.00000000000256,100,7
100.0000000000026,100,5
100.0000000000024,100,7
84.60180691015195,85,1
22.00975258483187,22,1
100.00000000000242,100,8
100.00000000000246,100,28
100.00000000000244,100,9
100.00000000000249,100,6
13.199392712549518,13,1
100.00000000000229,100,8
100.0000000000023,100,2
100.00000000000233,100,34
13.965404190921548,14,1
96.66643004235883,97,1
99.59420816125578,100,1
100.00000000000237,100,24
95.4722706684272,95,1
100.00000000000236,100,18
100.00000000000493,100,13
100.00000000000495,100,5
100.00000000000497,100,3
100.0000000000048,100,7
100.00000000000485,100,2
100.00000000000486,100,10
34.359069736361505,34,1
100.00000000000466,100,8
100.00000000000469,100,21
100.00000000000473,100,12
3.7359150352620203,4,1
9.410963587915177,9,1
100.00000000000455,100,3
100.00000000000459,100,6
100.00000000000458,100,3
100.00000000000462,100,7
72.22460241597534,72,1
68.06683185741771,68,1
100.00000000000465,100,9
52.30559940026406,52,1
100.00000000000536,100,3
94.53623867020669,95,1
100.00000000000541,100,2
100.0000000000054,100,6
8.867818265302812,9,1
58.74248003909383,59,1
100.00000000000544,100,4
32.06977969234132,32,1
5.031065679246356,5,1
100.00000000000526,100,19
100.0000000000053,100,15
100.00000000000529,100,3
100.00000000000533,100,19
93.21920911994968,93,1
100.00000000000514,100,10
100.00000000000517,100,6
100.00000000000522,100,19
100.0000000000052,100,22
100.00000000000502,100,5
100.000000000005,100,18
7.276165179591904,7,1
100.00000000000504,100,4
100.00000000000506,100,1
100.0000000000051,100,9
100.00000000000509,100,4
100.00000000000398,100,13
100.00000000000402,100,34
100.00000000000404,100,4
100.00000000000406,100,2
100.00000000000388,100,31
100.00000000000387,100,1
100.00000000000391,100,18
100.00000000000394,100,1
100.00000000000395,100,20
100.00000000000375,100,1
100.0000000000038,100,12
0.5615375779325751,1,1
100.00000000000378,100,3
100.00000000000382,100,12
97.0045082826268,97,1
100.00000000000384,100,10
100.00000000000364,100,5
100.00000000000368,100,12
99.69306054207759,100,1
97.76399869301214,98,1
0.29158911823401856,0,1
100.00000000000367,100,3
