hour,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1242
8,10916
9,4002
10,988
11,1168
12,1067
13,1378
14,1520
15,697
16,1371
17,2693
18,2346
19,217
20,74
21,0
22,0
