timeBin,TAZ,avgWait,medianWait,numberOfPickups,avgPoolingDelay,numberOfPooledPickups
18,353.0,81.8,69.0,5,0,0
17,353.0,103.85714285714286,73.0,7,0,0
14,353.0,40.0,40.0,2,0,0
13,353.0,36.0,36.0,2,0,0
12,462.0,137.07142857142858,46.0,14,0,0
13,462.0,121.26829268292683,58.0,41,0,0
10,462.0,64.77777777777777,58.0,9,0,0
11,462.0,131.28571428571428,142.5,14,0,0
8,462.0,125.5,125.5,2,0,0
9,462.0,67.5,67.5,2,0,0
19,451.0,161.0,161.0,2,0,0
18,451.0,28.0,28.0,3,0,0
14,451.0,353.0,353.0,3,0,0
16,451.0,169.0,50.0,3,0,0
17,244.0,400.0,400.0,2,0,0
11,451.0,350.0,350.0,5,0,0
10,451.0,379.0,379.0,3,0,0
13,451.0,150.0,150.0,2,0,0
7,451.0,146.0,146.0,1,0,0
14,440.0,134.0,134.0,2,0,0
17,440.0,401.0,401.0,2,0,0
16,440.0,112.0,112.0,3,0,0
17,331.0,198.0,198.0,1,0,0
13,331.0,94.0,94.0,2,0,0
11,377.0,120.0,120.0,9,0,0
13,377.0,232.0,232.0,1,0,0
16,377.0,311.0,311.0,2,0,0
17,377.0,230.0,230.0,37,0,0
8,440.0,253.0,253.0,1,0,0
10,268.0,597.0,597.0,12,0,0
14,268.0,223.0,223.0,2,0,0
17,268.0,130.0,130.0,1,0,0
17,320.0,333.05263157894734,238.0,19,0,0
16,320.0,292.0,292.0,1,0,0
13,320.0,115.0,115.0,1,0,0
15,366.0,62.0,62.0,2,0,0
17,366.0,286.0,286.0,2,0,0
8,377.0,271.5,271.5,2,0,0
9,377.0,234.0,234.0,9,0,0
10,377.0,388.0,388.0,1,0,0
12,331.0,94.0,94.0,2,0,0
10,331.0,164.0,164.0,1,0,0
7,331.0,98.0,98.0,3,0,0
8,331.0,164.0,164.0,2,0,0
17,355.0,198.0,247.0,4,0,0
16,355.0,161.0,161.0,1,0,0
15,355.0,42.0,42.0,3,0,0
14,355.0,89.0,89.0,1,0,0
13,355.0,168.33333333333334,208.0,3,0,0
12,355.0,92.33333333333333,50.0,3,0,0
11,355.0,41.0,41.0,2,0,0
17,453.0,415.1842105263158,319.0,38,0,0
16,453.0,220.41666666666666,206.0,36,0,0
18,453.0,575.0,575.0,8,0,0
13,453.0,206.0,206.0,3,0,0
12,453.0,248.14285714285714,206.0,14,0,0
15,453.0,166.0,166.0,1,0,0
14,453.0,233.0,208.0,8,0,0
11,320.0,714.0,714.0,11,0,0
12,320.0,262.0,262.0,1,0,0
10,320.0,244.0,244.0,1,0,0
7,320.0,119.33333333333333,115.0,3,0,0
8,320.0,340.75,186.5,8,0,0
17,344.0,809.0,809.0,2,0,0
7,268.0,431.0,431.0,1,0,0
9,268.0,416.0,416.0,2,0,0
8,268.0,701.0,701.0,2,0,0
9,453.0,284.0,206.0,3,0,0
8,453.0,597.013698630137,662.0,73,0,0
11,453.0,334.6666666666667,425.0,3,0,0
10,453.0,154.0,154.0,9,0,0
7,453.0,218.0,206.0,25,0,0
13,488.0,80.0,80.0,1,0,0
8,355.0,241.0,222.5,4,0,0
7,355.0,173.11111111111111,89.0,9,0,0
10,296.0,94.5,89.0,8,0,0
9,296.0,138.4,114.0,5,0,0
8,296.0,203.5,200.0,6,0,0
7,296.0,89.0,89.0,1,0,0
14,296.0,240.0,240.0,2,0,0
13,296.0,131.5,122.0,4,0,0
12,296.0,108.33333333333333,118.0,3,0,0
8,439.0,370.0,197.0,4,0,0
17,439.0,1347.111111111111,1646.0,18,0,0
18,439.0,437.0,437.0,1,0,0
12,261.0,94.0,94.0,4,0,0
16,261.0,206.0,206.0,2,0,0
8,261.0,94.0,94.0,3,0,0
8,428.0,326.55555555555554,269.0,9,0,0
9,428.0,89.33333333333333,73.0,6,0,0
10,428.0,225.33333333333334,292.0,3,0,0
19,481.0,176.0,176.0,20,0,0
17,481.0,152.1764705882353,71.0,17,0,0
7,428.0,200.5,188.0,10,0,0
18,481.0,122.0,122.0,4,0,0
16,428.0,119.63636363636364,68.0,11,0,0
18,296.0,96.5,98.0,4,0,0
17,296.0,127.16666666666667,92.0,12,0,0
17,428.0,282.125,278.0,8,0,0
16,296.0,91.75,92.0,12,0,0
15,296.0,119.5,94.5,4,0,0
12,428.0,722.0,948.0,6,0,0
13,428.0,187.0,82.0,4,0,0
19,296.0,118.0,118.0,4,0,0
7,481.0,212.84259259259258,176.0,108,0,0
8,481.0,1723.3859649122808,1777.0,57,0,0
15,481.0,189.85294117647058,176.0,34,0,0
16,481.0,199.35294117647058,176.0,17,0,0
13,481.0,506.5,506.5,2,0,0
14,481.0,143.66666666666666,176.0,9,0,0
11,481.0,488.0,488.0,2,0,0
12,481.0,735.0,735.0,5,0,0
9,481.0,461.2142857142857,180.0,14,0,0
10,481.0,607.4,895.0,20,0,0
8,417.0,136.75,119.0,4,0,0
13,417.0,56.0,56.0,2,0,0
12,417.0,77.0,77.0,1,0,0
17,417.0,113.33333333333333,118.0,3,0,0
8,308.0,124.66666666666667,95.0,6,0,0
7,308.0,174.0,174.0,2,0,0
10,285.0,172.0,172.0,1,0,0
7,285.0,80.0,80.0,1,0,0
10,308.0,146.0,146.0,1,0,0
9,308.0,174.0,174.0,1,0,0
17,361.0,82.25,83.0,4,0,0
12,285.0,416.0,416.0,47,0,0
16,361.0,74.0,74.0,1,0,0
15,308.0,89.0,89.0,5,0,0
18,308.0,95.0,95.0,8,0,0
17,308.0,189.88888888888889,182.0,9,0,0
14,308.0,174.0,174.0,3,0,0
11,372.0,19.0,19.0,2,0,0
10,406.0,348.0,348.0,1,0,0
19,308.0,348.0,348.0,3,0,0
9,406.0,348.0,348.0,1,0,0
8,406.0,497.5,497.5,2,0,0
13,406.0,263.0,263.0,1,0,0
12,406.0,764.0,764.0,6,0,0
18,406.0,505.0,505.0,1,0,0
18,350.0,48.0,48.0,1,0,0
14,396.0,98.83333333333333,95.5,6,0,0
17,396.0,177.84615384615384,72.0,13,0,0
16,396.0,90.66666666666667,115.0,3,0,0
19,396.0,183.0,183.0,1,0,0
18,396.0,255.0,255.0,1,0,0
7,361.0,163.5,174.0,4,0,0
15,287.0,302.0,302.0,9,0,0
14,361.0,167.0,167.0,1,0,0
16,287.0,145.5,145.5,2,0,0
13,361.0,61.0,61.0,1,0,0
14,287.0,70.0,70.0,1,0,0
8,361.0,136.0,136.0,1,0,0
7,396.0,205.0,205.0,1,0,0
8,396.0,403.5,403.5,2,0,0
13,396.0,56.0,56.0,1,0,0
12,396.0,141.0,141.0,3,0,0
16,298.0,178.0,238.0,5,0,0
15,298.0,254.0,254.0,3,0,0
13,298.0,134.0,134.0,1,0,0
17,298.0,1020.0,1020.0,1,0,0
8,276.0,919.0,913.5,18,0,0
8,230.0,1091.5,1091.5,2,0,0
19,419.0,128.0909090909091,133.0,11,0,0
10,230.0,232.0,232.0,5,0,0
18,419.0,120.3529411764706,128.0,17,0,0
11,276.0,129.25,86.0,4,0,0
12,276.0,110.0,110.0,2,0,0
9,276.0,428.0,428.0,1,0,0
13,230.0,784.0,784.0,1,0,0
14,374.0,58.0,58.0,3,0,0
15,374.0,176.0,176.0,1,0,0
17,374.0,245.58620689655172,184.0,29,0,0
19,374.0,176.0,176.0,2,0,0
17,472.0,891.4545454545455,193.0,11,0,0
18,472.0,128.0,128.0,1,0,0
16,472.0,128.0,128.0,2,0,0
13,419.0,88.18181818181819,94.0,11,0,0
12,419.0,114.25,128.5,4,0,0
10,419.0,280.5,280.5,2,0,0
17,419.0,478.4596774193548,599.0,124,0,0
16,419.0,92.23333333333333,70.0,30,0,0
15,419.0,104.75,119.0,4,0,0
14,419.0,62.0,62.0,1,0,0
12,287.0,34.0,34.0,4,0,0
13,472.0,128.0,128.0,1,0,0
14,472.0,294.0,294.0,2,0,0
11,472.0,128.0,128.0,3,0,0
16,363.0,59.85,52.0,40,0,0
12,472.0,267.0,267.0,1,0,0
17,363.0,170.0,170.0,2,0,0
7,472.0,110.05882352941177,108.0,68,0,0
8,472.0,325.2931034482759,130.0,58,0,0
7,374.0,77.33333333333333,87.0,3,0,0
8,374.0,804.5555555555555,997.0,9,0,0
19,461.0,678.5,679.0,10,0,0
9,408.0,205.0,205.0,1,0,0
10,374.0,58.0,58.0,2,0,0
17,461.0,868.8,1021.0,15,0,0
8,408.0,307.3636363636364,263.0,11,0,0
11,374.0,176.0,176.0,2,0,0
18,461.0,459.578125,679.0,64,0,0
7,408.0,175.0,175.0,1,0,0
15,461.0,59.0,59.0,32,0,0
13,374.0,58.0,58.0,2,0,0
16,461.0,580.0,674.0,13,0,0
15,230.0,232.0,232.0,5,0,0
15,276.0,530.0,530.0,2,0,0
16,276.0,259.0,259.0,1,0,0
17,230.0,358.0,232.0,4,0,0
14,276.0,274.5,274.5,2,0,0
17,408.0,108.0,89.0,3,0,0
16,408.0,178.0,178.0,2,0,0
17,276.0,599.4,490.0,10,0,0
18,276.0,299.5,299.5,2,0,0
11,292.0,728.0,728.0,1,0,0
17,292.0,282.0,282.0,3,0,0
15,292.0,230.0,230.0,1,0,0
7,446.0,446.8,518.0,5,0,0
10,292.0,951.0,951.0,4,0,0
8,435.0,1000.0,456.0,3,0,0
