hour,numPassengers,vkt
6,0,1631.1439999999998
6,1,0.0
7,0,181742.31599999947
7,1,1128734.4239999962
8,0,987352.5720000006
8,1,4178522.1440000017
9,0,382073.4599999997
9,1,1528261.5709999995
10,0,85852.96099999991
10,1,1055398.893999998
11,0,100268.79699999989
11,1,834439.0469999999
12,0,129769.72400000003
12,1,1384056.2789999968
13,0,91493.24599999998
13,1,1074881.6549999984
14,0,79281.07499999988
14,1,1018325.9359999981
15,0,105673.97200000014
15,1,1112058.0559999973
16,0,103444.53300000027
16,1,1741531.4549999998
17,0,422209.25100000156
17,1,3895296.674999994
18,0,1619356.3740000052
18,1,5897390.473000021
19,0,53896.85699999995
19,1,1986578.4209999975
20,0,30023.057000000015
20,1,1028658.3130000002
21,0,1002.7800000000001
21,1,109653.33899999999
