modeChosen, alternativesAvailable, numberOfTimes
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT, 2
walk, WALK:CAR, 55
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 190
walk, RIDE_HAIL:WALK:DRIVE_TRANSIT, 15
walk, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 3
drive_transit, WALK:CAR:DRIVE_TRANSIT, 4
walk, , 231
walk, WALK, 16876
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 5
drive_transit, DRIVE_TRANSIT, 30
walk, WALK:CAR:DRIVE_TRANSIT, 7
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 104
ride_hail, RIDE_HAIL:WALK:CAR, 34
walk, RIDE_HAIL:WALK, 9
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 33
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, WALK:WALK_TRANSIT, 19
walk_transit, RIDE_HAIL:CAR:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 2
ride_hail, RIDE_HAIL:WALK, 11
walk_transit, RIDE_HAIL:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 3
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 7
drive_transit, WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 2
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 352
walk, WALK:CAR:WALK_TRANSIT, 1
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 37
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT, 14
walk_transit, WALK:CAR:WALK_TRANSIT, 3
walk_transit, RIDE_HAIL:WALK_TRANSIT:DRIVE_TRANSIT:WALK, 1
ride_hail, RIDE_HAIL, 6245
drive_transit, WALK:WALK_TRANSIT:DRIVE_TRANSIT, 4
walk_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:DRIVE_TRANSIT:WALK_TRANSIT, 2
drive_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk, RIDE_HAIL:WALK:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 124
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 47
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 18
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 348
walk, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT, 60
walk, RIDE_HAIL:WALK:CAR, 27
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 22
walk_transit, WALK_TRANSIT, 34699
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 30
