ReplanningReason,Count
MissedTransitPickup DRIVE_TRANSIT,40
ResourceCapacityExhausted DRIVE_TRANSIT,3
ResourceUnavailable RIDE_HAIL,106
ResourceCapacityExhausted WALK_TRANSIT,29530
