timeBin,TAZ,outboundParkingOverheadTime,inboundParkingOverheadTime,inboundParkingOverheadCost
7,emergency,15.0,1104.0,50.0
8,emergency,0.0,1327.4117647058824,50.0
9,emergency,0.0,2126.0,50.0
10,emergency,0.0,994.0,50.0
11,emergency,0.0,1632.0,50.0
12,emergency,0.0,2017.5,50.0
13,emergency,0.0,1763.0,50.0
14,emergency,0.0,2066.0,50.0
15,emergency,0.0,1578.0,50.0
16,emergency,0.0,1651.6666666666667,50.0
17,emergency,0.0,1778.5,50.0
18,emergency,0.0,1753.5,50.0
