Bin,AverageLinkSpeed
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,99.99999999999993
8,99.20161909915095
9,99.03252815947904
10,99.16499461227855
11,99.31517391962348
12,99.35211093704125
13,99.45513659399056
14,99.50494087665221
15,99.39253902071795
16,99.25414312876582
17,99.02513427792613
18,97.34233149346898
19,98.08409585266723
20,98.23697384370837
21,98.46042041439097
22,98.68253781683816
23,99.09619032776652
24,99.01010360521522
25,98.88789330806074
26,98.96456407755578
27,99.04197980893879
28,99.01079838070082
29,99.31711670278862
30,100.0
