Revenue,Hour
0.0,0
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
61.85,6
5742.47,7
10419.91,8
1556.35,9
2978.2,10
2469.88,11
3948.12,12
2202.17,13
2853.83,14
4427.07,15
5138.0,16
20343.47,17
8691.3,18
3062.09,19
1471.66,20
75.25,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30

