hours,repositioning,0,1,2,3,4,5,6
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,414.0,253.0,0.0,0.0,0.0,0.0,0.0
9,0.0,942.0,915.0,0.0,0.0,0.0,0.0,0.0
10,0.0,165.0,324.0,0.0,0.0,0.0,0.0,0.0
11,0.0,275.0,270.0,0.0,0.0,0.0,0.0,0.0
12,0.0,243.0,217.0,0.0,0.0,0.0,0.0,0.0
13,0.0,339.0,366.0,0.0,0.0,0.0,0.0,0.0
14,0.0,235.0,239.0,0.0,0.0,0.0,0.0,0.0
15,0.0,272.0,280.0,0.0,0.0,0.0,0.0,0.0
16,0.0,331.0,228.0,0.0,0.0,0.0,0.0,0.0
17,0.0,409.0,380.0,0.0,0.0,0.0,0.0,0.0
18,0.0,1365.0,949.0,0.0,0.0,0.0,0.0,0.0
19,0.0,618.0,1033.0,0.0,0.0,0.0,0.0,0.0
20,0.0,236.0,324.0,0.0,0.0,0.0,0.0,0.0
21,0.0,102.0,168.0,0.0,0.0,0.0,0.0,0.0
22,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0
