modeChoiceReplanningEventChain,count
drive_transit-Replanning-walk_transit,12
walk_transit-Replanning-walk_transit-Replanning-walk_transit-Replanning-walk,8863
walk_transit-Replanning-walk,64
ride_hail-Replanning-ride_hail,1
walk_transit-Replanning-walk_transit-Replanning-walk,26
walk_transit-Replanning-walk_transit,969
drive_transit-Replanning-walk_transit-Replanning-walk_transit,6
drive_transit-Replanning-walk_transit-Replanning-walk_transit-Replanning-walk,10
drive_transit-Replanning-walk,4
walk_transit-Replanning-walk_transit-Replanning-walk_transit,1014
ride_hail-Replanning-walk,15
ride_hail-Replanning-drive_transit-Replanning-walk_transit,2
