hour,numPassengers,vkt
6,0,1631.1439999999998
6,1,0.0
7,0,156270.8030000002
7,1,1071290.1819999993
8,0,1045459.2499999955
8,1,3350739.5379999955
9,0,83706.43600000005
9,1,1624263.5709999998
10,0,80431.23999999986
10,1,1036804.0409999985
11,0,88587.88300000006
11,1,800294.1620000008
12,0,117632.38200000003
12,1,1601738.0199999982
13,0,87700.19399999997
13,1,777883.9649999997
14,0,77105.02799999992
14,1,1007703.3309999981
15,0,100014.6120000004
15,1,1056901.6069999998
16,0,115961.74900000019
16,1,1683390.870999997
17,0,492907.90700000396
17,1,3562300.275999996
18,0,489583.9159999999
18,1,5798541.868999997
19,0,65706.92000000001
19,1,1734121.6789999953
20,0,40063.67699999998
20,1,1039107.0769999999
21,0,802.224
21,1,52752.76400000001
