timeBin,TAZ,avgWait,medianWait,numberOfPickups,avgPoolingDelay,numberOfPooledPickups
18,379.0,287.0,287.0,4,0,0
9,488.0,80.0,80.0,5,0,0
10,379.0,299.0,299.0,2,0,0
12,379.0,160.0,160.0,1,0,0
14,379.0,194.0,194.0,1,0,0
10,477.0,234.0,234.0,7,0,0
17,322.0,159.33333333333334,110.0,3,0,0
17,368.0,184.66666666666666,154.0,3,0,0
18,368.0,104.0,104.0,2,0,0
15,322.0,160.0,160.0,3,0,0
14,368.0,35.0,35.0,1,0,0
15,368.0,104.0,104.0,2,0,0
13,420.0,275.0,275.0,6,0,0
7,379.0,348.5,348.5,2,0,0
8,379.0,605.6666666666666,575.0,3,0,0
16,311.0,187.0,187.0,2,0,0
17,311.0,278.4,226.0,5,0,0
12,311.0,240.8,204.0,5,0,0
11,311.0,190.75,196.0,4,0,0
14,311.0,187.0,187.0,1,0,0
8,420.0,211.0,211.0,1,0,0
19,311.0,226.0,226.0,2,0,0
7,420.0,94.0,94.0,1,0,0
7,368.0,104.0,104.0,1,0,0
8,368.0,102.5,102.5,2,0,0
10,248.0,620.0,620.0,2,0,0
16,346.0,135.63636363636363,149.0,11,0,0
16,300.0,181.78947368421052,184.0,19,0,0
15,346.0,317.0,317.0,1,0,0
18,300.0,184.0,184.0,4,0,0
17,300.0,175.6,184.0,10,0,0
12,346.0,100.0,100.0,1,0,0
12,300.0,234.46153846153845,184.0,13,0,0
11,346.0,179.0,179.0,1,0,0
11,300.0,438.4,424.0,5,0,0
14,300.0,617.8571428571429,784.0,14,0,0
13,300.0,298.0,298.0,1,0,0
20,346.0,103.0,103.0,2,0,0
19,346.0,100.0,100.0,1,0,0
18,346.0,100.0,100.0,6,0,0
17,346.0,208.9,100.0,10,0,0
8,311.0,200.0,200.0,1,0,0
10,311.0,160.25,167.0,4,0,0
15,335.0,51.333333333333336,51.0,3,0,0
16,335.0,132.42105263157896,68.0,19,0,0
13,335.0,51.0,51.0,4,0,0
14,335.0,58.25,60.0,4,0,0
11,335.0,58.888888888888886,60.0,9,0,0
9,335.0,166.66666666666666,200.0,3,0,0
19,335.0,89.7,64.0,20,0,0
17,335.0,111.21739130434783,98.0,23,0,0
18,335.0,64.0,64.0,2,0,0
14,479.0,154.0,154.0,2,0,0
15,479.0,248.0,248.0,6,0,0
12,479.0,383.0,421.0,5,0,0
10,479.0,227.1818181818182,208.0,11,0,0
11,479.0,409.1818181818182,490.0,11,0,0
8,479.0,754.3658536585366,673.0,41,0,0
9,479.0,511.1111111111111,523.0,18,0,0
8,300.0,286.0,184.0,5,0,0
7,300.0,516.0,392.0,7,0,0
9,300.0,304.0,304.0,1,0,0
18,479.0,222.25,232.0,16,0,0
16,479.0,205.0,232.0,13,0,0
17,479.0,443.4166666666667,232.0,12,0,0
15,324.0,83.5,83.5,4,0,0
13,324.0,218.0,201.0,12,0,0
