hour,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1254
8,11034
9,4025
10,992
11,1143
12,1068
13,1367
14,1528
15,725
16,1380
17,2636
18,2315
19,220
20,93
21,0
22,0
