linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
100.00000000000126,100,6
89.8420043590739,90,1
100.00000000000125,100,33
100.0000000000013,100,9
100.00000000000131,100,1
100.00000000000135,100,1
100.00000000000134,100,5
0.8045751215610066,1,1
100.00000000000115,100,8
100.00000000000114,100,21
100.00000000000118,100,8
100.0000000000012,100,42
100.00000000000122,100,8
100.00000000000104,100,7
100.00000000000102,100,4
100.00000000000107,100,8
100.0000000000011,100,4
100.00000000000111,100,16
2.091349795210019,2,1
100.00000000000091,100,27
100.00000000000095,100,3
6.1626007577557695,6,1
100.00000000000094,100,4
100.00000000000098,100,1
100.000000000001,100,5
100.0000000000017,100,24
100.00000000000175,100,5
8.638676205339973,9,1
100.00000000000173,100,1
100.00000000000178,100,10
15.444136768175474,15,1
0.5130304329320857,1,1
100.0000000000018,100,8
90.31409725302078,90,1
100.00000000000162,100,4
58.567930736048815,59,1
100.00000000000166,100,8
100.00000000000165,100,9
100.00000000000149,100,2
98.14862722514285,98,1
100.00000000000155,100,41
92.59514041280507,93,1
100.00000000000153,100,7
100.00000000000158,100,3
100.00000000000138,100,6
0.06995363860560386,0,1
100.00000000000139,100,5
100.00000000000142,100,6
100.00000000000146,100,8
100.00000000000145,100,7
100.00000000000036,100,6
16.990836625487418,17,1
100.00000000000038,100,9
0.6879182814641335,1,1
0.5965517029822395,1,1
100.0000000000004,100,10
100.00000000000044,100,5
2.786818330704089,3,1
100.00000000000043,100,4
100.00000000000024,100,1
0.327095851557274,0,1
100.00000000000023,100,26
100.00000000000027,100,8
100.00000000000031,100,15
100.00000000000013,100,11
100.00000000000011,100,11
100.00000000000016,100,4
100.00000000000017,100,5
100.0000000000002,100,24
100.0,100,151962
100.00000000000004,100,1
100.00000000000003,100,8004
100.00000000000007,100,12
63.58438703608973,64,1
100.00000000000009,100,1
74.73762749533834,75,1
100.0000000000008,100,14
0.29222871224832847,0,1
100.00000000000084,100,9
6.351524174130745,6,2
100.00000000000082,100,3
100.00000000000087,100,3
12.140506278414195,12,1
4.256085188038071,4,1
0.2993513324915238,0,1
100.00000000000088,100,10
100.00000000000068,100,10
8.75028016007534,9,1
100.00000000000071,100,1
100.00000000000075,100,13
54.05609598127236,54,1
100.00000000000074,100,4
100.00000000000078,100,4
100.00000000000058,100,8
6.486237925967394,6,1
0.7117709651710825,1,1
100.0000000000006,100,11
0.5229039333563503,1,1
2.205532339275013,2,1
100.00000000000064,100,16
6.351524174130736,6,1
100.00000000000063,100,7
100.00000000000067,100,5
100.00000000000047,100,1
100.00000000000048,100,30
100.00000000000051,100,2
100.00000000000055,100,11
100.00000000000054,100,7
100.00000000000308,100,3
100.00000000000307,100,8
0.33916643624536874,0,1
100.00000000000311,100,1
100.00000000000313,100,1
100.00000000000317,100,11
100.00000000000315,100,4
100.00000000000297,100,1
100.00000000000296,100,19
100.000000000003,100,2
1.5894932592660918,2,1
0.6799612210331119,1,1
100.00000000000304,100,2
100.00000000000284,100,14
100.00000000000288,100,4
36.78675035554664,37,1
99.99999999988646,100,3
100.00000000000287,100,9
100.00000000000291,100,7
100.00000000000293,100,10
100.00000000000273,100,6
0.9508444925622757,1,1
0.618863242216193,1,1
100.00000000000277,100,4
100.00000000000276,100,6
100.0000000000028,100,7
0.0889911289084022,0,1
100.0000000001192,100,1
6.754564063737469,7,1
100.00000000000281,100,5
100.00000000000352,100,5
0.2394779759872928,0,1
100.00000000000355,100,3
84.45060286956611,84,1
100.0000000000036,100,29
100.00000000000358,100,4
100.00000000000362,100,9
23.379289665435113,23,1
100.00000000000342,100,6
100.00000000000348,100,13
100.00000000000347,100,2
0.2997136525672488,0,1
100.00000000000351,100,11
95.5797817690804,96,1
100.00000000000331,100,5
0.6946178623036341,1,1
100.00000000000333,100,7
100.00000000000335,100,1
100.0000000000034,100,24
100.00000000000338,100,9
100.0000000000032,100,1
0.685113181239366,1,1
99.9999999998868,100,1
100.00000000000323,100,1
100.00000000000324,100,25
100.00000000000328,100,1
100.00000000000327,100,25
100.00000000000217,100,12
94.75106998820907,95,1
100.00000000000216,100,6
100.00000000000222,100,24
100.00000000000226,100,5
0.19877913058481703,0,1
100.00000000000225,100,19
100.00000000000206,100,7
100.00000000000205,100,4
100.00000000000209,100,6
0.313828797230314,0,3
100.0000000000021,100,5
0.07763179329457702,0,1
100.00000000000213,100,20
100.00000000000193,100,9
7.277993494692003,7,1
100.00000000000198,100,12
100.00000000000196,100,9
100.000000000002,100,11
100.00000000000202,100,28
100.00000000000182,100,7
