timeBin,TAZ,outboundParkingOverheadTime,inboundParkingOverheadTime,inboundParkingOverheadCost
7,emergency,9.0,1815.0,50.0
8,emergency,0.0,1548.625,50.0
9,emergency,0.0,1518.0,50.0
10,emergency,0.0,1427.0,50.0
11,emergency,0.0,2229.0,50.0
12,emergency,0.0,2012.0,50.0
13,emergency,0.0,999.0,50.0
14,emergency,0.0,1900.0,50.0
15,emergency,0.0,1865.0,50.0
16,emergency,0.0,1403.6,50.0
17,emergency,0.0,1158.5,50.0
18,emergency,0.0,1302.0,50.0
