Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,
drive_transit,0,0,0,0,0,0,0,5,14,0,2,0,2,1,1,0,7,0,2,0,0,0,0,
ride_hail,0,0,0,0,0,0,4,611,776,137,291,238,343,235,271,344,441,1555,414,282,26,4,0,
walk,0,0,0,0,0,0,0,269,3435,1767,727,593,441,675,756,802,1168,4794,1484,705,49,1,1,
walk_transit,0,0,0,0,0,0,6,3353,11716,3246,1311,1577,1572,1733,1987,1080,2248,3780,1991,401,105,3,0,
