hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,4.0,0,6.0
8,1.8333333333333333,611.0,162.5,694.5
9,6.333333333333333,774.1666666666667,1847.8333333333333,2718.1666666666665
10,0,137.0,901.1666666666666,974.0
11,1.0,291.0,586.5,524.0
12,0,238.0,439.5,617.0
13,1.0,343.0,302.0,566.0
14,0.5,234.0,478.0,616.5
15,0.5,271.0,529.5,663.0
16,0,344.0,695.0,489.5
17,3.0,441.0,1043.0,644.0
18,0,1555.0,4427.499999999999,1327.5
19,0.8333333333333333,414.0,1061.3333333333335,705.3333333333333
20,0,275.0,660.0,258.5
21,0,26.0,38.5,43.5
22,0,4.0,1.0,3.0
23,0,0,1.0,0
