Bin,AverageLinkSpeed
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,99.99999999999999
7,99.99849132749232
8,98.9785501983071
9,98.83347963323646
10,99.41493041325113
11,99.38814662670104
12,99.38269637416609
13,99.4379210185874
14,99.47502529097831
15,99.41335831787323
16,99.13160258379442
17,98.99493655331624
18,97.83194095682546
19,98.0283666803012
20,97.91877517068554
21,98.21825535151379
22,98.39036151575287
23,98.55608659178358
24,98.74625838198247
25,98.73413697005866
26,98.89990626035777
27,99.03835523889356
28,99.01547356535315
29,99.02993392910759
30,100.0
