Revenue,Hour
0.0,0
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
61.3,6
6033.29,7
11300.57,8
1673.72,9
3064.21,10
2556.32,11
4171.38,12
2226.08,13
3021.98,14
4683.84,15
5479.76,16
20426.65,17
7009.2,18
2895.93,19
1513.18,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30

