modeChosen, alternativesAvailable, numberOfTimes
drive_transit, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 4
ride_hail, RIDE_HAIL:CAR:WALK, 5
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT, 284
walk, WALK:CAR, 3
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 2268
walk, RIDE_HAIL:WALK:DRIVE_TRANSIT, 6
ride_hail, RIDE_HAIL:DRIVE_TRANSIT:WALK, 2
drive_transit, WALK:CAR:DRIVE_TRANSIT, 47
drive_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 9
walk, , 155
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 2
walk, WALK, 16621
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 13
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 976
ride_hail, RIDE_HAIL:WALK:CAR, 426
walk, RIDE_HAIL:WALK, 8
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:DRIVE_TRANSIT:WALK_TRANSIT, 5
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 457
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:CAR:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 23
ride_hail, RIDE_HAIL:WALK, 152
walk_transit, RIDE_HAIL:CAR:WALK_TRANSIT:WALK, 4
walk_transit, RIDE_HAIL:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 33
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 115
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:WALK_TRANSIT, 1
drive_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 13
ride_hail, RIDE_HAIL:CAR:DRIVE_TRANSIT:WALK, 1
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 3268
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 398
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT, 148
walk_transit, RIDE_HAIL:WALK_TRANSIT:DRIVE_TRANSIT:WALK, 9
ride_hail, RIDE_HAIL, 3361
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 2
walk, RIDE_HAIL:WALK:WALK_TRANSIT, 3
drive_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 10
walk_transit, RIDE_HAIL:CAR:WALK_TRANSIT:DRIVE_TRANSIT:WALK, 2
walk_transit, RIDE_HAIL:WALK_TRANSIT:WALK, 1
walk_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 1046
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 778
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 255
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 3117
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT:WALK_TRANSIT, 2
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 2
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT, 629
walk, RIDE_HAIL:WALK:CAR, 31
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 391
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 3
walk_transit, WALK_TRANSIT, 24333
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 104
