Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,
drive_transit,0,0,0,0,0,0,0,9,56,0,2,1,2,1,1,1,8,0,2,0,0,0,0,
ride_hail,0,0,0,0,0,0,4,674,955,149,309,253,367,241,289,389,487,1794,489,338,40,0,0,
walk,0,0,0,0,0,0,0,246,3252,1753,699,601,426,671,732,768,1129,4560,1404,664,41,0,1,
walk_transit,0,0,0,0,0,0,6,3302,11583,3254,1313,1562,1543,1717,1963,1052,2245,3738,1946,394,100,3,0,
