hour,numPassengers,vkt
6,0,1631.1439999999998
6,1,0.0
7,0,172407.2309999999
7,1,1110745.1509999994
8,0,1446191.149
8,1,4241647.459000007
9,0,120574.53200000006
9,1,1356616.085000002
10,0,92020.74400000027
10,1,1011516.9050000005
11,0,86812.13600000006
11,1,881718.0029999997
12,0,154779.96499999965
12,1,1698667.8099999998
13,0,81297.32599999986
13,1,772112.3299999995
14,0,87330.8819999999
14,1,1055871.910999999
15,0,121825.65000000027
15,1,1168052.0409999967
16,0,118058.2170000003
16,1,1818601.7759999991
17,0,517714.1630000032
17,1,5253681.229000007
18,0,234540.90600000133
18,1,5267227.498999943
19,0,60682.00599999984
19,1,1947609.029999999
20,0,35089.508999999984
20,1,969297.5799999991
