hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,4.0,0,6.0
8,3.1666666666666665,670.6666666666669,140.5,688.0
9,16.916666666666668,923.5833333333336,1678.3333333333333,2710.416666666668
10,0,149.0,883.7500000000002,967.1666666666671
11,1.0,308.5,560.0,523.0
12,0.3333333333333333,253.0,443.5,598.5
13,1.0,366.0,288.83333333333337,564.3333333333333
14,0.5,241.0,475.0,615.0
15,0.5,289.0,511.0,664.5
16,0.25,384.25,664.5,479.0
17,2.916666666666667,486.25,1002.25,651.25
18,0,1794.0,4198.666666666668,1315.416666666667
19,0.8333333333333333,489.0,988.0833333333334,686.8333333333334
20,0,326.0,613.5,255.0
21,0,40.0,31.0,43.0
22,0,0,0,3.0
23,0,0,1.0,0
