hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,4.0,0,6.0
8,1.4999999999999998,599.0,169.5,688.5
9,5.583333333333332,743.0833333333334,1874.4166666666665,2733.0000000000005
10,0,136.0,900.8333333333334,970.0833333333334
11,0.8333333333333333,285.0,591.0,532.0
12,0.5,232.0,450.3333333333333,607.3333333333333
13,1.0,336.0,316.5,563.5
14,0.3333333333333333,230.0,474.5,619.0
15,0.5,273.0,530.8333333333333,668.3333333333333
16,0,336.0,704.5,486.5
17,3.0,425.0,1052.5,650.5
18,0,1520.0,4459.666666666666,1335.1666666666667
19,1.0,372.0,1081.3333333333335,707.3333333333333
20,0,258.5,666.0,278.0
21,0,25.0,46.0,45.0
22,0,0,1.0,3.0
23,0,0,1.0,0
