hours,repositioning,0,1,2,3,4,5,6
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,451.0,264.0,0.0,0.0,0.0,0.0,0.0
9,0.0,870.0,906.0,0.0,0.0,0.0,0.0,0.0
10,0.0,155.0,278.0,0.0,0.0,0.0,0.0,0.0
11,0.0,267.0,265.0,0.0,0.0,0.0,0.0,0.0
12,0.0,241.0,214.0,0.0,0.0,0.0,0.0,0.0
13,0.0,334.0,324.0,0.0,0.0,0.0,0.0,0.0
14,0.0,226.0,262.0,0.0,0.0,0.0,0.0,0.0
15,0.0,275.0,283.0,0.0,0.0,0.0,0.0,0.0
16,0.0,326.0,224.0,0.0,0.0,0.0,0.0,0.0
17,0.0,391.0,369.0,0.0,0.0,0.0,0.0,0.0
18,0.0,1319.0,908.0,0.0,0.0,0.0,0.0,0.0
19,0.0,588.0,994.0,0.0,0.0,0.0,0.0,0.0
20,0.0,218.0,286.0,0.0,0.0,0.0,0.0,0.0
21,0.0,96.0,180.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
