timeBin,TAZ,avgWait,medianWait,numberOfPickups,avgPoolingDelay,numberOfPooledPickups
18,379.0,326.0,326.0,4,0,0
9,488.0,80.0,80.0,5,0,0
10,379.0,309.0,309.0,2,0,0
14,379.0,194.0,194.0,1,0,0
10,477.0,234.0,234.0,7,0,0
17,322.0,127.33333333333333,110.0,3,0,0
17,368.0,316.6666666666667,271.0,3,0,0
18,368.0,483.0,483.0,1,0,0
15,322.0,114.0,114.0,3,0,0
14,368.0,35.0,35.0,1,0,0
15,368.0,104.0,104.0,2,0,0
13,420.0,161.0,161.0,5,0,0
7,379.0,350.0,350.0,2,0,0
8,379.0,514.3333333333334,522.0,3,0,0
16,311.0,187.0,187.0,2,0,0
17,311.0,280.0,234.0,5,0,0
12,311.0,230.0,197.0,6,0,0
11,311.0,171.25,166.0,4,0,0
14,311.0,128.0,128.0,1,0,0
8,420.0,456.0,456.0,1,0,0
19,311.0,226.0,226.0,1,0,0
7,420.0,94.0,94.0,1,0,0
7,368.0,104.0,104.0,1,0,0
8,368.0,102.5,102.5,2,0,0
10,248.0,620.0,620.0,2,0,0
16,346.0,135.63636363636363,149.0,11,0,0
16,300.0,181.66666666666666,184.0,18,0,0
15,346.0,317.0,317.0,1,0,0
18,300.0,184.0,184.0,4,0,0
17,300.0,240.2,184.0,10,0,0
12,346.0,116.0,116.0,1,0,0
12,300.0,924.9230769230769,932.0,13,0,0
11,346.0,179.0,179.0,1,0,0
11,300.0,342.4,304.0,5,0,0
14,300.0,189.28571428571428,184.0,14,0,0
13,300.0,184.0,184.0,1,0,0
20,346.0,241.0,241.0,1,0,0
19,346.0,100.0,100.0,1,0,0
18,346.0,100.0,100.0,6,0,0
17,346.0,222.55555555555554,148.0,9,0,0
8,311.0,200.0,200.0,1,0,0
10,311.0,160.25,167.0,4,0,0
15,335.0,51.333333333333336,51.0,3,0,0
16,335.0,56.526315789473685,53.0,19,0,0
13,335.0,58.5,58.5,4,0,0
14,335.0,58.25,60.0,4,0,0
11,335.0,74.55555555555556,60.0,9,0,0
9,335.0,165.33333333333334,200.0,3,0,0
19,335.0,66.9,64.0,20,0,0
17,335.0,93.8,72.0,25,0,0
18,335.0,64.0,64.0,2,0,0
14,479.0,231.0,231.0,2,0,0
15,479.0,154.0,154.0,7,0,0
12,479.0,317.85714285714283,272.0,7,0,0
10,479.0,180.0,154.0,10,0,0
11,479.0,364.27272727272725,456.0,11,0,0
8,479.0,786.0,645.0,44,0,0
9,479.0,430.1666666666667,276.0,12,0,0
8,300.0,310.3333333333333,247.0,6,0,0
7,300.0,508.2857142857143,304.0,7,0,0
9,300.0,301.0,301.0,1,0,0
18,479.0,270.53333333333336,232.0,15,0,0
16,479.0,237.71428571428572,232.0,7,0,0
17,479.0,241.66666666666666,232.0,12,0,0
15,324.0,108.0,108.0,4,0,0
13,324.0,216.69230769230768,201.0,13,0,0
11,324.0,85.0,85.0,1,0,0
12,324.0,47.0,47.0,1,0,0
6,479.0,276.0,276.0,2,0,0
