hour,numPassengers,vkt
6,0,1631.1439999999998
6,1,0.0
7,0,173355.0979999999
7,1,1093411.6439999966
8,0,833311.1129999995
8,1,3416398.2850000085
9,0,81053.26700000004
9,1,1286884.943999998
10,0,99030.86600000015
10,1,943068.4580000006
11,0,94148.15499999997
11,1,778064.6300000001
12,0,154717.30100000015
12,1,1340070.050000001
13,0,76524.1789999999
13,1,975548.3440000002
14,0,76598.18699999995
14,1,1010504.5399999978
15,0,96535.45700000017
15,1,998279.7039999985
16,0,84848.74900000003
16,1,1584475.5049999987
17,0,502952.5490000014
17,1,3626340.7890000017
18,0,955531.9359999968
18,1,5250962.5079999715
19,0,50968.13399999997
19,1,1544195.8979999977
20,0,32691.65199999999
20,1,1278822.934
21,0,0.0
21,1,29073.75600000001
