Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,
drive_transit,0,0,0,0,0,0,0,4,14,0,2,1,2,1,1,0,7,0,2,0,0,0,0,
ride_hail,0,0,0,0,0,0,4,599,746,136,285,232,336,230,273,336,425,1520,372,271,25,0,0,
walk,0,0,0,0,0,0,0,275,3466,1767,733,607,458,673,757,812,1170,4835,1499,719,58,1,1,
walk_transit,0,0,0,0,0,0,6,3362,11742,3255,1306,1598,1588,1745,1977,1081,2223,3810,1995,440,114,3,0,
