hour,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1256
8,11061
9,4033
10,989
11,1172
12,1094
13,1372
14,1519
15,730
16,1339
17,2673
18,2296
19,259
20,105
21,0
22,0
