modeChosen, alternativesAvailable, numberOfTimes
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT, 12
walk, WALK:CAR, 3
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 214
walk, RIDE_HAIL:WALK:DRIVE_TRANSIT, 11
drive_transit, WALK:CAR:DRIVE_TRANSIT, 4
walk, , 142
walk, WALK, 17615
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 4
drive_transit, DRIVE_TRANSIT, 29
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 94
ride_hail, RIDE_HAIL:WALK:CAR, 26
walk, RIDE_HAIL:WALK, 2
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 43
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:CAR:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 1
ride_hail, RIDE_HAIL:WALK, 15
walk_transit, RIDE_HAIL:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 3
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 6
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 348
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 24
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT, 10
ride_hail, RIDE_HAIL, 5543
walk_transit, WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 1
drive_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:CAR:WALK_TRANSIT:DRIVE_TRANSIT:WALK, 1
walk_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 99
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 54
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 25
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 332
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT:WALK_TRANSIT, 2
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT, 76
walk, RIDE_HAIL:WALK:CAR, 15
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 32
walk_transit, WALK_TRANSIT, 35074
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 38
