Bin,AverageLinkSpeed
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,99.99999999999997
8,99.2875346558604
9,99.14028107366849
10,99.62211986062307
11,99.68643482163993
12,99.67030708381499
13,99.74518039960462
14,99.73818989622944
15,99.81158860288862
16,99.53197599239645
17,99.30363523272545
18,97.85266062703437
19,98.55986066044807
20,99.02252819946627
21,98.95619530141418
22,99.06981406085306
23,99.12679303289212
24,99.15720808449477
25,99.18289578911298
26,99.22542341001905
27,99.22147309338739
28,99.23853139426656
29,99.31430137041814
30,100.0
