hours,0,1-3,4-6,7-9,10-12
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,17.0,0.0,0.0,0.0,0.0
7,1379.0,7.0,0.0,0.0,0.0
8,1377.0,341.0,203.0,1.0,0.0
9,230.0,451.0,1226.0,41.0,0.0
10,487.0,518.0,907.0,23.0,0.0
11,456.0,565.0,632.0,11.0,0.0
12,242.0,450.0,711.0,16.0,0.0
13,214.0,485.0,708.0,12.0,0.0
14,290.0,443.0,670.0,16.0,0.0
15,251.0,461.0,677.0,30.0,0.0
16,296.0,523.0,580.0,20.0,0.0
17,251.0,481.0,676.0,11.0,0.0
18,208.0,476.0,981.0,25.0,0.0
19,340.0,516.0,1060.0,19.0,0.0
20,816.0,662.0,440.0,0.0,0.0
21,989.0,416.0,216.0,0.0,0.0
22,1265.0,72.0,39.0,0.0,0.0
23,304.0,0.0,0.0,0.0,0.0
