hour,numPassengers,vkt
6,0,1631.1439999999998
6,1,0.0
7,0,166806.6859999996
7,1,1090431.3229999952
8,0,1301190.8409999982
8,1,3446713.1730000023
9,0,136920.58099999992
9,1,1963436.8569999968
10,0,101694.86800000024
10,1,1142333.1039999996
11,0,96769.69999999997
11,1,861972.2239999992
12,0,118587.34099999996
12,1,1407857.972000002
13,0,81206.92399999988
13,1,965710.5239999985
14,0,78654.68099999988
14,1,1028704.0549999987
15,0,113755.72100000034
15,1,1095055.7609999985
16,0,137786.39800000045
16,1,1776122.9750000017
17,0,457378.92800000083
17,1,4546635.688999998
18,0,650625.4769999982
18,1,6167428.251999996
19,0,72388.43600000006
19,1,2541349.786999998
20,0,38540.71999999996
20,1,1306362.881999999
21,0,0.0
21,1,29542.924000000006
