hours,repositioning,0,1,2,3,4,5,6
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,425.0,260.0,0.0,0.0,0.0,0.0,0.0
9,0.0,1018.0,931.0,0.0,0.0,0.0,0.0,0.0
10,0.0,193.0,407.0,0.0,0.0,0.0,0.0,0.0
11,0.0,281.0,283.0,0.0,0.0,0.0,0.0,0.0
12,0.0,252.0,225.0,0.0,0.0,0.0,0.0,0.0
13,0.0,343.0,337.0,0.0,0.0,0.0,0.0,0.0
14,0.0,235.0,275.0,0.0,0.0,0.0,0.0,0.0
15,0.0,282.0,290.0,0.0,0.0,0.0,0.0,0.0
16,0.0,349.0,251.0,0.0,0.0,0.0,0.0,0.0
17,0.0,457.0,412.0,0.0,0.0,0.0,0.0,0.0
18,0.0,1416.0,1088.0,0.0,0.0,0.0,0.0,0.0
19,0.0,784.0,1083.0,0.0,0.0,0.0,0.0,0.0
20,0.0,262.0,368.0,0.0,0.0,0.0,0.0,0.0
21,0.0,102.0,189.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
