hours,0,1-3,4-6,7-9,10-12
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,17.0,0.0,0.0,0.0,0.0
7,1379.0,7.0,0.0,0.0,0.0
8,1371.0,349.0,201.0,1.0,0.0
9,248.0,450.0,1213.0,37.0,0.0
10,502.0,486.0,924.0,23.0,0.0
11,469.0,552.0,632.0,11.0,0.0
12,251.0,446.0,703.0,19.0,0.0
13,234.0,455.0,722.0,8.0,0.0
14,298.0,412.0,693.0,16.0,0.0
15,292.0,415.0,682.0,30.0,0.0
16,285.0,541.0,573.0,20.0,0.0
17,268.0,458.0,682.0,11.0,0.0
18,224.0,457.0,986.0,23.0,0.0
19,355.0,541.0,1018.0,21.0,0.0
20,791.0,708.0,419.0,0.0,0.0
21,962.0,485.0,174.0,0.0,0.0
22,1256.0,120.0,0.0,0.0,0.0
23,304.0,0.0,0.0,0.0,0.0
