Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,
drive_transit,0,0,0,0,0,0,0,3,20,0,2,1,2,1,1,0,7,0,3,0,0,0,0,
ride_hail,0,0,0,0,0,0,4,648,854,143,298,244,347,239,280,375,480,1690,480,312,34,0,0,
walk,0,0,0,0,0,0,0,251,3357,1748,725,601,434,681,749,785,1130,4665,1416,650,47,1,1,
walk_transit,0,0,0,0,0,0,6,3331,11610,3250,1295,1560,1566,1733,1980,1050,2258,3748,1934,415,106,3,0,
