linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
100.00000000000126,100,7
84.87830780403436,85,1
100.00000000000125,100,26
100.0000000000013,100,9
1.5711931941699457,2,1
100.00000000000134,100,2
96.45038350500491,96,1
100.00000000000115,100,9
100.00000000000114,100,23
65.07529846725858,65,1
100.00000000000118,100,8
6.464474339449859,6,1
100.0000000000012,100,51
100.00000000000122,100,10
1.7723837358121324,2,1
100.00000000000104,100,6
100.00000000000102,100,5
100.00000000000107,100,5
0.8337171743101396,1,1
100.0000000000011,100,4
100.00000000000111,100,12
100.00000000000091,100,20
100.00000000000095,100,5
100.00000000000094,100,3
100.00000000000098,100,1
4.664997317116666,5,1
100.000000000001,100,3
100.0000000000017,100,22
100.00000000000175,100,4
100.00000000000173,100,1
100.00000000000178,100,6
100.0000000000018,100,5
100.00000000000162,100,3
93.07358484852716,93,1
100.00000000000166,100,10
100.00000000000165,100,8
100.00000000000169,100,2
40.32707194930101,40,1
100.00000000000149,100,3
100.0000000000015,100,1
15.032651034672323,15,1
100.00000000000155,100,44
100.00000000000153,100,8
100.00000000000158,100,4
100.00000000000138,100,4
15.079070466238123,15,1
0.44493336838844244,0,1
100.00000000000139,100,6
99.99999999988499,100,1
100.00000000000142,100,6
100.00000000000146,100,6
100.00000000000145,100,6
100.00000000000036,100,7
100.00000000000038,100,12
100.0000000000004,100,9
100.00000000000044,100,5
4.270568781666677,4,1
100.00000000000043,100,4
100.00000000000024,100,2
100.00000000000023,100,21
100.00000000000027,100,8
31.54586511896451,32,1
100.00000000000028,100,2
100.00000000000031,100,14
51.828339212368405,52,1
4.82605766342814,5,1
4.28827748893346,4,1
100.00000000000013,100,8
100.00000000000011,100,6
100.00000000000016,100,9
6.279417480437563,6,1
100.00000000000017,100,6
0.02858727300095179,0,1
100.0000000000002,100,22
0.11341973538259528,0,1
100.0,100,152207
34.742843108609414,35,1
100.00000000000004,100,2
100.00000000000003,100,7994
100.00000000000007,100,8
0.1826746959604009,0,1
100.00000000000009,100,1
100.0000000000008,100,11
100.00000000000084,100,12
6.351524174130745,6,3
100.00000000000082,100,4
100.00000000000087,100,1
100.00000000000088,100,4
2.8671270071653527,3,1
100.00000000000068,100,16
2.0113577949403263,2,1
100.00000000000071,100,3
100.00000000000075,100,17
96.80517183894979,97,1
100.00000000000074,100,4
100.00000000000078,100,6
100.00000000000058,100,4
0.4025390427091426,0,1
100.0000000000006,100,8
100.00000000000064,100,25
100.00000000000063,100,2
100.00000000000067,100,3
100.00000000000047,100,6
100.00000000000048,100,33
100.00000000000051,100,3
100.00000000000055,100,17
100.00000000000054,100,5
100.00000000000308,100,1
100.00000000000307,100,10
0.7235875028628223,1,1
100.00000000000311,100,1
100.00000000000313,100,4
100.00000000000317,100,8
0.4393975570362455,0,1
100.00000000000315,100,1
100.00000000000297,100,1
100.00000000000296,100,15
100.000000000003,100,4
0.4435611000390696,0,1
100.00000000000304,100,3
100.00000000000284,100,15
100.00000000000288,100,6
99.99999999988646,100,1
100.00000000000287,100,12
0.34341666202733534,0,1
100.00000000000291,100,12
0.4571923075567929,0,1
100.00000000000293,100,7
41.317316526073654,41,1
100.00000000000273,100,1
100.00000000000277,100,4
3.775086232751489,4,1
100.00000000000276,100,4
100.0000000000028,100,9
100.0000000001192,100,1
0.30446190185794586,0,1
100.00000000000281,100,6
100.00000000000352,100,4
91.96884358333206,92,1
100.00000000000355,100,1
100.0000000000036,100,38
100.00000000000358,100,3
100.00000000000362,100,10
100.00000000000342,100,3
1.4015441739779013,1,1
100.00000000000348,100,19
100.00000000000347,100,5
100.00000000000351,100,11
100.00000000000331,100,1
96.71616581491288,97,1
92.2039771770201,92,1
100.00000000000333,100,9
100.00000000000335,100,2
100.0000000000034,100,27
1.011556630573151,1,1
100.00000000000338,100,13
7.406145262522018,7,1
100.0000000000032,100,1
100.00000000000323,100,1
100.00000000000324,100,27
100.00000000000327,100,18
100.00000000000217,100,8
9.91391259291185,10,1
0.6334009211512287,1,1
100.00000000000216,100,4
100.00000000000222,100,26
99.99999999988582,100,2
100.00000000000226,100,7
100.00000000000225,100,16
100.00000000000206,100,3
56.99429965585623,57,1
100.00000000000205,100,5
100.00000000000209,100,5
96.78921628530618,97,1
100.0000000000021,100,5
100.00000000000213,100,23
100.00000000000193,100,4
100.00000000000198,100,5
100.00000000000196,100,8
100.000000000002,100,5
100.00000000000202,100,11
