hour,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1249
8,10934
9,4016
10,983
11,1139
12,1056
13,1380
14,1523
15,710
16,1391
17,2609
18,2260
19,207
20,95
21,0
22,0
