Bin,AverageLinkSpeed
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,99.99999999999999
7,99.99999999999997
8,99.1197985333841
9,99.01215177992967
10,99.28320332015592
11,99.27273276777238
12,99.26930625145916
13,99.16675065264951
14,99.25691516291609
15,99.27674211951289
16,99.05380200422236
17,98.99432822433084
18,97.70585193094222
19,98.23379071244543
20,98.30772175587897
21,98.399433168757
22,98.49610516646857
23,98.91318803395447
24,99.1128912573653
25,99.14561850097925
26,99.19624339925916
27,99.25935482423156
28,99.4365366060206
29,99.55737853126399
30,100.0
